2025-11-16 14:58:08.417 | INFO     | p8fs.models.engram.processor:_process_engram:64 - Upserting engram 'Friday Afternoon Company All-Hands' with ID 7fb12e5d-67f7-57e6-ac75-da13d3276f00
2025-11-16 14:58:08.417 | DEBUG    | p8fs.providers.tidb:connect_async:1031 - Async connection requested, returning sync connection (aiomysql not implemented yet)
2025-11-16 14:58:08.418 | DEBUG    | p8fs.providers.tidb:_init_connection_pool:967 - Initializing TiDB connection pool: max_connections=10, max_usage=100, max_lifetime=3600s
2025-11-16 14:58:08.928 | DEBUG    | p8fs.providers.tidb:_init_connection_pool:995 - TiDB connection pool initialized successfully
2025-11-16 14:58:08.928 | DEBUG    | p8fs.providers.tidb:connect_sync:1010 - Using pooled TiDB connection
2025-11-16 14:58:08.970 | DEBUG    | p8fs.repository.BaseRepository:upsert:397 - Upserting Resources with fields: ['id', 'created_at', 'updated_at', 'name', 'category', 'content', 'summary', 'ordinal', 'uri', 'metadata', 'graph_paths', 'resource_timestamp', 'userid', 'tenant_id']
2025-11-16 14:58:09.012 | DEBUG    | p8fs.providers.tidb:execute:1090 - Executing query: INSERT INTO resources (id, created_at, updated_at, name, category, content, summary, ordinal, uri, m...
2025-11-16 14:58:09.113 | DEBUG    | p8fs.repository.BaseRepository:upsert:417 - Successfully async upserted 1 Resources entities
2025-11-16 14:58:09.115 | DEBUG    | p8fs.services.llm.embedding_providers:_load_providers:322 - Registered embedding provider: text-embedding-3-small
2025-11-16 14:58:09.115 | DEBUG    | p8fs.services.llm.embedding_providers:_load_providers:322 - Registered embedding provider: text-embedding-ada-002
2025-11-16 14:58:09.115 | DEBUG    | p8fs.services.llm.embedding_providers:_load_providers:322 - Registered embedding provider: all-MiniLM-L6-v2
2025-11-16 14:58:09.115 | DEBUG    | p8fs.services.llm.embedding_providers:_load_providers:322 - Registered embedding provider: all-MiniLM-L6-v2-onnx
2025-11-16 14:58:10.122 | INFO     | p8fs.services.llm.embedding_providers:_get_model:245 - Loaded FastEmbed model: sentence-transformers/all-MiniLM-L6-v2
2025-11-16 14:58:10.122 | DEBUG    | p8fs.services.llm.embedding_providers:validate_input:60 - Text truncated from 1802 to 256 characters
2025-11-16 14:58:10.129 | DEBUG    | p8fs.providers.tidb:connect_sync:1010 - Using pooled TiDB connection
2025-11-16 14:58:10.172 | DEBUG    | p8fs.providers.tidb:execute:1090 - Executing query: 
            REPLACE INTO embeddings.resources_embeddings
            (id, entity_id, field_name, em...
2025-11-16 14:58:10.351 | INFO     | p8fs.repository.BaseRepository:_generate_embeddings_for_entities:976 - Generated and stored 1 embeddings in batch
